type,bounding_box,begin_time,end_time,details,span
Flash_Flood+Thunderstorm_Wind,1136_348_1191_426,2020-07-01 05:00:00,2020-07-01 17:00:00,"Flash_Flood 2020070105 2020070111,Thunderstorm_Wind 2020070117 2020070117",0 days 16:00:00
Flood,1289_517_1330_559,2020-07-01 05:00:00,2020-07-01 06:00:00,Flood 2020070105 2020070106,0 days 05:00:00
Thunderstorm_Wind,1017_441_1072_537,2020-07-01 07:00:00,2020-07-01 11:00:00,Thunderstorm_Wind 2020070107 2020070111,0 days 08:00:00
Flash_Flood,1063_572_1108_618,2020-07-01 09:00:00,2020-07-01 12:00:00,Flash_Flood 2020070109 2020070112,0 days 07:00:00
Marine_Thunderstorm_Wind+Waterspout,1268_204_1348_270,2020-07-01 09:00:00,2020-07-01 12:00:00,"Marine_Thunderstorm_Wind 2020070111 2020070112,Waterspout 2020070109 2020070109",0 days 07:00:00
Flood+Hail+Heavy_Rain+Lightning+Thunderstorm_Wind,1520_614_1568_701,2020-07-01 11:00:00,2020-07-01 18:00:00,"Flood 2020070115 2020070115,Hail 2020070114 2020070115,Heavy_Rain 2020070111 2020070118,Lightning 2020070113 2020070113,Thunderstorm_Wind 2020070114 2020070114",0 days 11:00:00
Flash_Flood,1528_674_1569_716,2020-07-01 11:00:00,2020-07-01 12:00:00,Flash_Flood 2020070111 2020070112,0 days 05:00:00
Lightning+Thunderstorm_Wind,1416_496_1476_566,2020-07-01 11:00:00,2020-07-01 21:00:00,"Lightning 2020070111 2020070112,Thunderstorm_Wind 2020070119 2020070121",0 days 14:00:00
Thunderstorm_Wind+Tornado,1083_406_1136_475,2020-07-01 11:00:00,2020-07-01 14:00:00,"Thunderstorm_Wind 2020070114 2020070114,Tornado 2020070111 2020070111",0 days 07:00:00
Flash_Flood+Thunderstorm_Wind,1035_357_1097_476,2020-07-01 11:00:00,2020-07-03 00:00:00,"Flash_Flood 2020070221 2020070300,Thunderstorm_Wind 2020070111 2020070112",1 days 17:00:00
Thunderstorm_Wind,1309_327_1380_377,2020-07-01 12:00:00,2020-07-01 13:00:00,Thunderstorm_Wind 2020070112 2020070113,0 days 05:00:00
Flash_Flood+Lightning+Thunderstorm_Wind,1282_246_1371_336,2020-07-01 12:00:00,2020-07-03 18:00:00,"Flash_Flood 2020070317 2020070318,Lightning 2020070317 2020070317,Thunderstorm_Wind 2020070112 2020070316",2 days 10:00:00
Marine_Thunderstorm_Wind,1389_211_1446_305,2020-07-01 12:00:00,2020-07-01 17:00:00,Marine_Thunderstorm_Wind 2020070112 2020070117,0 days 09:00:00
Flash_Flood+Heavy_Rain,1373_390_1415_432,2020-07-01 12:00:00,2020-07-01 15:00:00,"Flash_Flood 2020070114 2020070115,Heavy_Rain 2020070112 2020070115",0 days 07:00:00
Hail+Thunderstorm_Wind,1480_570_1518_641,2020-07-01 12:00:00,2020-07-01 15:00:00,"Hail 2020070114 2020070115,Thunderstorm_Wind 2020070112 2020070114",0 days 07:00:00
Funnel_Cloud+Thunderstorm_Wind,1387_216_1445_295,2020-07-01 12:00:00,2020-07-01 17:00:00,"Funnel_Cloud 2020070112 2020070112,Thunderstorm_Wind 2020070112 2020070117",0 days 09:00:00
Heavy_Rain+Thunderstorm_Wind,1504_598_1549_644,2020-07-01 12:00:00,2020-07-01 18:00:00,"Heavy_Rain 2020070112 2020070113,Thunderstorm_Wind 2020070118 2020070118",0 days 10:00:00
Marine_Thunderstorm_Wind,1486_572_1526_612,2020-07-01 12:00:00,2020-07-01 12:00:00,Marine_Thunderstorm_Wind 2020070112 2020070112,0 days 04:00:00
Flash_Flood+Thunderstorm_Wind,1126_492_1170_534,2020-07-01 13:00:00,2020-07-01 14:00:00,"Flash_Flood 2020070113 2020070114,Thunderstorm_Wind 2020070113 2020070113",0 days 05:00:00
Marine_Thunderstorm_Wind,1501_519_1546_588,2020-07-01 13:00:00,2020-07-01 15:00:00,Marine_Thunderstorm_Wind 2020070113 2020070115,0 days 06:00:00
Hail+Lightning+Thunderstorm_Wind,1540_703_1618_758,2020-07-01 13:00:00,2020-07-01 18:00:00,"Hail 2020070113 2020070113,Lightning 2020070118 2020070118,Thunderstorm_Wind 2020070114 2020070114",0 days 09:00:00
Hail+Thunderstorm_Wind,1466_507_1554_597,2020-07-01 13:00:00,2020-07-01 16:00:00,"Hail 2020070113 2020070113,Thunderstorm_Wind 2020070113 2020070116",0 days 07:00:00
Lightning,1586_743_1627_784,2020-07-01 13:00:00,2020-07-01 13:00:00,Lightning 2020070113 2020070113,0 days 04:00:00
Lightning+Thunderstorm_Wind,1188_230_1270_318,2020-07-01 13:00:00,2020-07-01 16:00:00,"Lightning 2020070113 2020070113,Thunderstorm_Wind 2020070115 2020070116",0 days 07:00:00
Flash_Flood+Flood,1135_448_1192_496,2020-07-01 14:00:00,2020-07-01 20:00:00,"Flash_Flood 2020070115 2020070120,Flood 2020070114 2020070115",0 days 10:00:00
Funnel_Cloud,1014_629_1057_672,2020-07-01 14:00:00,2020-07-01 14:00:00,Funnel_Cloud 2020070114 2020070114,0 days 04:00:00
Thunderstorm_Wind,1428_543_1469_594,2020-07-01 14:00:00,2020-07-01 15:00:00,Thunderstorm_Wind 2020070114 2020070115,0 days 05:00:00
Marine_Thunderstorm_Wind,1429_146_1482_250,2020-07-01 14:00:00,2020-07-01 16:00:00,Marine_Thunderstorm_Wind 2020070114 2020070116,0 days 06:00:00
Hail+Lightning,1517_674_1598_747,2020-07-01 14:00:00,2020-07-01 17:00:00,"Hail 2020070116 2020070116,Lightning 2020070114 2020070117",0 days 07:00:00
Flood+Thunderstorm_Wind,1122_200_1163_241,2020-07-01 15:00:00,2020-07-01 16:00:00,"Flood 2020070116 2020070116,Thunderstorm_Wind 2020070115 2020070115",0 days 05:00:00
Hail+Thunderstorm_Wind,776_222_843_330,2020-07-01 15:00:00,2020-07-01 18:00:00,"Hail 2020070116 2020070117,Thunderstorm_Wind 2020070115 2020070118",0 days 07:00:00
Hail+Thunderstorm_Wind,1473_749_1517_792,2020-07-01 16:00:00,2020-07-01 16:00:00,"Hail 2020070116 2020070116,Thunderstorm_Wind 2020070116 2020070116",0 days 04:00:00
Hail,810_347_851_388,2020-07-01 16:00:00,2020-07-01 16:00:00,Hail 2020070116 2020070116,0 days 04:00:00
Flash_Flood,1464_510_1541_593,2020-07-01 16:00:00,2020-07-01 19:00:00,Flash_Flood 2020070116 2020070119,0 days 07:00:00
Marine_Thunderstorm_Wind,1407_293_1443_357,2020-07-01 16:00:00,2020-07-01 17:00:00,Marine_Thunderstorm_Wind 2020070116 2020070117,0 days 05:00:00
Lightning,1152_219_1196_264,2020-07-01 16:00:00,2020-07-01 16:00:00,Lightning 2020070116 2020070116,0 days 04:00:00
Thunderstorm_Wind,562_785_621_836,2020-07-01 16:00:00,2020-07-01 16:00:00,Thunderstorm_Wind 2020070116 2020070116,0 days 04:00:00
Marine_Thunderstorm_Wind,1517_509_1560_554,2020-07-01 16:00:00,2020-07-01 16:00:00,Marine_Thunderstorm_Wind 2020070116 2020070116,0 days 04:00:00
Marine_Thunderstorm_Wind,1184_203_1269_279,2020-07-01 16:00:00,2020-07-01 20:00:00,Marine_Thunderstorm_Wind 2020070116 2020070120,0 days 08:00:00
Marine_Thunderstorm_Wind,1495_521_1539_567,2020-07-01 16:00:00,2020-07-01 16:00:00,Marine_Thunderstorm_Wind 2020070116 2020070116,0 days 04:00:00
Hail,764_505_809_552,2020-07-01 17:00:00,2020-07-01 18:00:00,Hail 2020070117 2020070118,0 days 05:00:00
Hail+Tornado,752_460_827_542,2020-07-01 17:00:00,2020-07-01 19:00:00,"Hail 2020070117 2020070119,Tornado 2020070118 2020070118",0 days 06:00:00
Wind+Tornado,1035_432_1134_483,2020-07-01 17:00:00,2020-07-01 17:00:00,,0 days 04:00:00
Thunderstorm_Wind,1223_238_1265_281,2020-07-01 17:00:00,2020-07-01 17:00:00,Thunderstorm_Wind 2020070117 2020070117,0 days 04:00:00
Flash_Flood+Thunderstorm_Wind,1119_281_1198_363,2020-07-01 17:00:00,2020-07-01 19:00:00,"Flash_Flood 2020070118 2020070119,Thunderstorm_Wind 2020070117 2020070119",0 days 06:00:00
Wind,1292_284_1337_329,2020-07-01 17:00:00,2020-07-01 17:00:00,,0 days 04:00:00
Thunderstorm_Wind,1487_756_1528_799,2020-07-01 18:00:00,2020-07-01 18:00:00,Thunderstorm_Wind 2020070118 2020070118,0 days 04:00:00
Thunderstorm_Wind,1498_496_1539_537,2020-07-01 18:00:00,2020-07-01 18:00:00,Thunderstorm_Wind 2020070118 2020070118,0 days 04:00:00
Marine_Thunderstorm_Wind,1466_88_1503_173,2020-07-01 18:00:00,2020-07-01 19:00:00,Marine_Thunderstorm_Wind 2020070118 2020070119,0 days 05:00:00
Heat,688_88_845_389,2020-07-01 18:00:00,2020-07-01 18:00:00,,0 days 04:00:00
Wind,1279_258_1380_372,2020-07-01 18:00:00,2020-07-01 18:00:00,,0 days 04:00:00
Flash_Flood,1271_436_1326_509,2020-07-01 18:00:00,2020-07-01 21:00:00,Flash_Flood 2020070118 2020070121,0 days 07:00:00
Heat,489_175_510_223,2020-07-01 18:00:00,2020-07-01 18:00:00,,0 days 04:00:00
Heat,1255_1047_1277_1058,2020-07-01 18:00:00,2020-07-01 18:00:00,,0 days 04:00:00
Wind,1055_418_1098_469,2020-07-01 18:00:00,2020-07-01 18:00:00,,0 days 04:00:00
Heat,291_473_418_540,2020-07-01 18:00:00,2020-07-01 18:00:00,,0 days 04:00:00
Heat,859_450_908_481,2020-07-01 18:00:00,2020-07-01 18:00:00,,0 days 04:00:00
Heat,415_40_567_106,2020-07-01 19:00:00,2020-07-01 19:00:00,,0 days 04:00:00
Heat,644_84_874_485,2020-07-01 19:00:00,2020-07-01 19:00:00,,0 days 04:00:00
Heat,326_195_520_304,2020-07-01 19:00:00,2020-07-01 19:00:00,,0 days 04:00:00
Wind+Hail,1475_597_1568_657,2020-07-01 19:00:00,2020-07-01 19:00:00,,0 days 04:00:00
Heat,289_471_346_542,2020-07-01 19:00:00,2020-07-01 19:00:00,,0 days 04:00:00
Funnel_Cloud+Hail,838_851_878_891,2020-07-01 19:00:00,2020-07-01 19:00:00,"Funnel_Cloud 2020070119 2020070119,Hail 2020070119 2020070119",0 days 04:00:00
Hail+Wind,1462_529_1570_659,2020-07-01 20:00:00,2020-07-01 20:00:00,,0 days 04:00:00
Wind,1328_255_1375_306,2020-07-01 20:00:00,2020-07-01 20:00:00,,0 days 04:00:00
Wind,1084_401_1149_457,2020-07-01 20:00:00,2020-07-01 20:00:00,,0 days 04:00:00
Heat,638_0_908_486,2020-07-01 20:00:00,2020-07-01 20:00:00,,0 days 04:00:00
Heat,289_196_527_543,2020-07-01 20:00:00,2020-07-01 20:00:00,,0 days 04:00:00
Wind,1499_517_1546_563,2020-07-01 21:00:00,2020-07-01 21:00:00,,0 days 04:00:00
Wind,1108_400_1149_441,2020-07-01 21:00:00,2020-07-01 21:00:00,,0 days 04:00:00
Hail+Wind,1474_689_1601_791,2020-07-01 21:00:00,2020-07-01 21:00:00,,0 days 04:00:00
Wind,1188_230_1228_271,2020-07-01 21:00:00,2020-07-01 21:00:00,,0 days 04:00:00
Hail,801_259_841_300,2020-07-01 22:00:00,2020-07-01 22:00:00,,0 days 04:00:00
Wind,1383_249_1432_290,2020-07-01 22:00:00,2020-07-01 22:00:00,,0 days 04:00:00
Hail+Wind,784_234_829_285,2020-07-01 23:00:00,2020-07-01 23:00:00,,0 days 04:00:00
Wind,564_788_617_833,2020-07-01 23:00:00,2020-07-01 23:00:00,,0 days 04:00:00
Wind,1132_240_1264_427,2020-07-01 23:00:00,2020-07-01 23:00:00,,0 days 04:00:00
Wind,1498_497_1545_641,2020-07-01 23:00:00,2020-07-01 23:00:00,,0 days 04:00:00
Hail,766_497_810_547,2020-07-01 23:00:00,2020-07-01 23:00:00,,0 days 04:00:00
Hail+Wind,786_528_848_617,2020-07-02 00:00:00,2020-07-02 00:00:00,,0 days 04:00:00
Wind,783_881_824_927,2020-07-02 00:00:00,2020-07-02 00:00:00,,0 days 04:00:00
Wind,1586_754_1631_800,2020-07-02 00:00:00,2020-07-02 00:00:00,,0 days 04:00:00
Hail,777_671_819_716,2020-07-02 01:00:00,2020-07-02 01:00:00,,0 days 04:00:00
Wind,1590_745_1632_792,2020-07-02 01:00:00,2020-07-02 01:00:00,,0 days 04:00:00
Wind,811_537_875_623,2020-07-02 01:00:00,2020-07-02 01:00:00,,0 days 04:00:00
Hail,776_721_820_763,2020-07-02 01:00:00,2020-07-02 01:00:00,,0 days 04:00:00
Wind,840_523_891_589,2020-07-02 02:00:00,2020-07-02 02:00:00,,0 days 04:00:00
Wind,1587_727_1628_767,2020-07-02 02:00:00,2020-07-02 02:00:00,,0 days 04:00:00
Wind,840_524_881_564,2020-07-02 03:00:00,2020-07-02 03:00:00,,0 days 04:00:00
Wind,881_474_926_518,2020-07-02 06:00:00,2020-07-02 06:00:00,,0 days 04:00:00
Wind,848_678_905_745,2020-07-02 06:00:00,2020-07-02 06:00:00,,0 days 04:00:00
Flash_Flood,915_503_958_546,2020-07-02 06:00:00,2020-07-02 08:00:00,Flash_Flood 2020070206 2020070208,0 days 06:00:00
Waterspout,1501_530_1547_579,2020-07-02 09:00:00,2020-07-02 09:00:00,Waterspout 2020070209 2020070209,0 days 04:00:00
Flash_Flood+Thunderstorm_Wind,1101_261_1180_359,2020-07-02 09:00:00,2020-07-02 15:00:00,"Flash_Flood 2020070209 2020070215,Thunderstorm_Wind 2020070212 2020070212",0 days 10:00:00
Thunderstorm_Wind,914_421_959_482,2020-07-02 10:00:00,2020-07-02 11:00:00,Thunderstorm_Wind 2020070210 2020070211,0 days 05:00:00
Hail+Tornado,710_553_769_618,2020-07-02 11:00:00,2020-07-02 14:00:00,"Hail 2020070213 2020070214,Tornado 2020070211 2020070213",0 days 07:00:00
Hail,698_715_742_758,2020-07-02 12:00:00,2020-07-02 12:00:00,Hail 2020070212 2020070212,0 days 04:00:00
Flash_Flood+Thunderstorm_Wind,1107_184_1150_235,2020-07-02 12:00:00,2020-07-03 14:00:00,"Flash_Flood 2020070212 2020070314,Thunderstorm_Wind 2020070311 2020070311",1 days 06:00:00
Hail,722_742_783_797,2020-07-02 12:00:00,2020-07-02 14:00:00,Hail 2020070212 2020070214,0 days 06:00:00
Marine_Thunderstorm_Wind,1430_180_1477_238,2020-07-02 13:00:00,2020-07-02 14:00:00,Marine_Thunderstorm_Wind 2020070213 2020070214,0 days 05:00:00
Thunderstorm_Wind,737_754_778_795,2020-07-02 13:00:00,2020-07-02 13:00:00,Thunderstorm_Wind 2020070213 2020070213,0 days 04:00:00
Hail,709_715_767_763,2020-07-02 13:00:00,2020-07-02 14:00:00,Hail 2020070213 2020070214,0 days 05:00:00
Flash_Flood+Hail+Tornado,719_537_790_600,2020-07-02 13:00:00,2020-07-02 16:00:00,"Flash_Flood 2020070214 2020070216,Hail 2020070214 2020070215,Tornado 2020070213 2020070215",0 days 07:00:00
Hail,726_499_768_540,2020-07-02 13:00:00,2020-07-02 13:00:00,Hail 2020070213 2020070213,0 days 04:00:00
Hail,732_775_780_822,2020-07-02 14:00:00,2020-07-02 14:00:00,Hail 2020070214 2020070214,0 days 04:00:00
Hail,719_709_767_756,2020-07-02 14:00:00,2020-07-02 14:00:00,Hail 2020070214 2020070214,0 days 04:00:00
Hail+Thunderstorm_Wind,1604_854_1664_932,2020-07-02 14:00:00,2020-07-02 17:00:00,"Hail 2020070214 2020070217,Thunderstorm_Wind 2020070215 2020070217",0 days 07:00:00
Hail+Thunderstorm_Wind,728_805_867_936,2020-07-02 14:00:00,2020-07-02 20:00:00,"Hail 2020070214 2020070216,Thunderstorm_Wind 2020070218 2020070220",0 days 10:00:00
Thunderstorm_Wind,732_784_780_831,2020-07-02 14:00:00,2020-07-02 14:00:00,Thunderstorm_Wind 2020070214 2020070214,0 days 04:00:00
Hail+Tornado,713_608_771_709,2020-07-02 14:00:00,2020-07-02 16:00:00,"Hail 2020070214 2020070216,Tornado 2020070216 2020070216",0 days 06:00:00
Hail+Thunderstorm_Wind,758_582_823_716,2020-07-02 14:00:00,2020-07-02 19:00:00,"Hail 2020070214 2020070219,Thunderstorm_Wind 2020070215 2020070215",0 days 09:00:00
Hail+Thunderstorm_Wind,748_570_826_627,2020-07-02 14:00:00,2020-07-02 17:00:00,"Hail 2020070214 2020070215,Thunderstorm_Wind 2020070217 2020070217",0 days 07:00:00
Hail+Thunderstorm_Wind,738_731_793_781,2020-07-02 15:00:00,2020-07-02 15:00:00,"Hail 2020070215 2020070215,Thunderstorm_Wind 2020070215 2020070215",0 days 04:00:00
Thunderstorm_Wind,969_439_1039_500,2020-07-02 15:00:00,2020-07-02 17:00:00,Thunderstorm_Wind 2020070215 2020070217,0 days 06:00:00
Hail,722_713_772_761,2020-07-02 15:00:00,2020-07-02 15:00:00,Hail 2020070215 2020070215,0 days 04:00:00
Hail+Thunderstorm_Wind,959_454_1004_498,2020-07-02 15:00:00,2020-07-02 16:00:00,"Hail 2020070215 2020070215,Thunderstorm_Wind 2020070216 2020070216",0 days 05:00:00
Hail+Thunderstorm_Wind,753_511_859_614,2020-07-02 15:00:00,2020-07-02 19:00:00,"Hail 2020070216 2020070217,Thunderstorm_Wind 2020070215 2020070219",0 days 08:00:00
Thunderstorm_Wind,1090_783_1130_823,2020-07-02 15:00:00,2020-07-02 15:00:00,Thunderstorm_Wind 2020070215 2020070215,0 days 04:00:00
Thunderstorm_Wind,1518_709_1564_814,2020-07-02 15:00:00,2020-07-02 18:00:00,Thunderstorm_Wind 2020070215 2020070218,0 days 07:00:00
Thunderstorm_Wind,1597_810_1644_899,2020-07-02 16:00:00,2020-07-02 18:00:00,Thunderstorm_Wind 2020070216 2020070218,0 days 06:00:00
Lightning,1146_216_1189_259,2020-07-02 16:00:00,2020-07-02 16:00:00,Lightning 2020070216 2020070216,0 days 04:00:00
Hail+Thunderstorm_Wind,764_462_828_560,2020-07-02 16:00:00,2020-07-02 17:00:00,"Hail 2020070216 2020070217,Thunderstorm_Wind 2020070217 2020070217",0 days 05:00:00
Marine_Thunderstorm_Wind,1121_162_1180_250,2020-07-02 16:00:00,2020-07-02 18:00:00,Marine_Thunderstorm_Wind 2020070216 2020070218,0 days 06:00:00
Flash_Flood+Thunderstorm_Wind,458_277_528_330,2020-07-02 16:00:00,2020-07-02 18:00:00,"Flash_Flood 2020070216 2020070218,Thunderstorm_Wind 2020070216 2020070216",0 days 06:00:00
Hail+Thunderstorm_Wind,760_444_802_485,2020-07-02 16:00:00,2020-07-02 16:00:00,"Hail 2020070216 2020070216,Thunderstorm_Wind 2020070216 2020070216",0 days 04:00:00
Thunderstorm_Wind,1570_739_1630_801,2020-07-02 16:00:00,2020-07-02 20:00:00,Thunderstorm_Wind 2020070216 2020070220,0 days 08:00:00
Thunderstorm_Wind,1124_215_1164_255,2020-07-02 16:00:00,2020-07-02 16:00:00,Thunderstorm_Wind 2020070216 2020070216,0 days 04:00:00
Heat,307_485_336_537,2020-07-02 17:00:00,2020-07-02 17:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,1462_99_1504_142,2020-07-02 17:00:00,2020-07-02 17:00:00,"Hail 2020070217 2020070217,Thunderstorm_Wind 2020070217 2020070217",0 days 04:00:00
Thunderstorm_Wind,990_400_1030_440,2020-07-02 17:00:00,2020-07-02 17:00:00,Thunderstorm_Wind 2020070217 2020070217,0 days 04:00:00
Lightning+Thunderstorm_Wind,883_282_941_340,2020-07-02 17:00:00,2020-07-02 18:00:00,"Lightning 2020070218 2020070218,Thunderstorm_Wind 2020070217 2020070217",0 days 05:00:00
Thunderstorm_Wind,885_337_927_379,2020-07-02 17:00:00,2020-07-02 17:00:00,Thunderstorm_Wind 2020070217 2020070217,0 days 04:00:00
Thunderstorm_Wind,733_271_777_314,2020-07-02 17:00:00,2020-07-02 17:00:00,Thunderstorm_Wind 2020070217 2020070217,0 days 04:00:00
Thunderstorm_Wind,1535_742_1576_784,2020-07-02 17:00:00,2020-07-02 17:00:00,Thunderstorm_Wind 2020070217 2020070217,0 days 04:00:00
Hail+Thunderstorm_Wind,778_722_832_821,2020-07-02 17:00:00,2020-07-02 19:00:00,"Hail 2020070219 2020070219,Thunderstorm_Wind 2020070217 2020070217",0 days 06:00:00
Hail,769_715_825_767,2020-07-02 18:00:00,2020-07-02 18:00:00,Hail 2020070218 2020070218,0 days 04:00:00
Thunderstorm_Wind,805_570_863_628,2020-07-02 18:00:00,2020-07-02 19:00:00,Thunderstorm_Wind 2020070218 2020070219,0 days 05:00:00
Heat,331_243_364_307,2020-07-02 18:00:00,2020-07-02 18:00:00,,0 days 04:00:00
Heat,367_350_404_373,2020-07-02 18:00:00,2020-07-02 18:00:00,,0 days 04:00:00
Thunderstorm_Wind,1577_775_1619_818,2020-07-02 18:00:00,2020-07-02 18:00:00,Thunderstorm_Wind 2020070218 2020070218,0 days 04:00:00
Heat,897_371_1005_411,2020-07-02 18:00:00,2020-07-02 18:00:00,,0 days 04:00:00
Heat,1241_734_1281_792,2020-07-02 18:00:00,2020-07-02 18:00:00,,0 days 04:00:00
Heat,291_477_340_541,2020-07-02 18:00:00,2020-07-02 18:00:00,,0 days 04:00:00
Heat,745_407_772_431,2020-07-02 18:00:00,2020-07-02 18:00:00,,0 days 04:00:00
Heat,803_18_868_177,2020-07-02 19:00:00,2020-07-02 19:00:00,,0 days 04:00:00
Heat,289_238_453_543,2020-07-02 19:00:00,2020-07-02 19:00:00,,0 days 04:00:00
Heat,735_377_799_449,2020-07-02 19:00:00,2020-07-02 19:00:00,,0 days 04:00:00
Heat,963_385_1038_450,2020-07-02 19:00:00,2020-07-02 19:00:00,,0 days 04:00:00
Thunderstorm_Wind,819_537_887_595,2020-07-02 19:00:00,2020-07-02 20:00:00,Thunderstorm_Wind 2020070219 2020070220,0 days 05:00:00
Marine_Thunderstorm_Wind,1390_248_1435_296,2020-07-02 19:00:00,2020-07-02 19:00:00,Marine_Thunderstorm_Wind 2020070219 2020070219,0 days 04:00:00
Heat,706_186_736_215,2020-07-02 19:00:00,2020-07-02 19:00:00,,0 days 04:00:00
Hail,699_715_764_784,2020-07-02 19:00:00,2020-07-02 19:00:00,,0 days 04:00:00
Tornado,713_558_759_602,2020-07-02 19:00:00,2020-07-02 19:00:00,,0 days 04:00:00
Heat,669_177_740_220,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Heat,771_362_822_404,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Heat,976_389_1007_413,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Heat,816_440_888_486,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Hail+Wind,711_718_778_795,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Hail+Tornado,712_500_768_618,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Wind,1515_760_1567_814,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Heat,686_278_708_300,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Thunderstorm_Wind,839_474_927_569,2020-07-02 20:00:00,2020-07-03 00:00:00,Thunderstorm_Wind 2020070220 2020070300,0 days 08:00:00
Heat,289_229_455_543,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Heat,793_0_874_187,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Heat,423_103_557_230,2020-07-02 20:00:00,2020-07-02 20:00:00,,0 days 04:00:00
Thunderstorm_Wind,1587_727_1628_768,2020-07-02 21:00:00,2020-07-02 21:00:00,Thunderstorm_Wind 2020070221 2020070221,0 days 04:00:00
Wind,969_458_1009_499,2020-07-02 21:00:00,2020-07-02 21:00:00,,0 days 04:00:00
Wind,1511_740_1662_907,2020-07-02 21:00:00,2020-07-02 21:00:00,,0 days 04:00:00
Hail+Wind,719_551_800_872,2020-07-02 21:00:00,2020-07-02 21:00:00,,0 days 04:00:00
Thunderstorm_Wind,871_526_912_567,2020-07-02 21:00:00,2020-07-02 21:00:00,Thunderstorm_Wind 2020070221 2020070221,0 days 04:00:00
Wind,1521_722_1667_902,2020-07-02 22:00:00,2020-07-02 22:00:00,,0 days 04:00:00
Wind+Hail,1463_100_1503_141,2020-07-02 22:00:00,2020-07-02 22:00:00,,0 days 04:00:00
Hail+Wind+Tornado,721_441_1016_885,2020-07-02 22:00:00,2020-07-02 22:00:00,,0 days 04:00:00
Thunderstorm_Wind,832_676_905_768,2020-07-02 23:00:00,2020-07-03 00:00:00,Thunderstorm_Wind 2020070223 2020070300,0 days 05:00:00
Thunderstorm_Wind,816_691_856_731,2020-07-02 23:00:00,2020-07-02 23:00:00,Thunderstorm_Wind 2020070223 2020070223,0 days 04:00:00
Wind,734_273_940_378,2020-07-02 23:00:00,2020-07-02 23:00:00,,0 days 04:00:00
Thunderstorm_Wind,423_729_540_808,2020-07-02 23:00:00,2020-07-03 17:00:00,Thunderstorm_Wind 2020070223 2020070317,0 days 22:00:00
Wind,1526_712_1637_851,2020-07-02 23:00:00,2020-07-02 23:00:00,,0 days 04:00:00
Hail+Wind+Tornado,719_465_827_852,2020-07-02 23:00:00,2020-07-02 23:00:00,,0 days 04:00:00
