type,bounding_box,begin_time,end_time,details
Hail+Thunderstorm_Wind+Tornado,631_523_749_653,2020-08-04 14:00:00,2020-08-04 19:00:00,"Hail 2020080414 2020080419,Thunderstorm_Wind 2020080418 2020080418,Tornado 2020080418 2020080418"
Hail+Thunderstorm_Wind,839_336_928_407,2020-08-30 00:00:00,2020-08-30 02:00:00,"Hail 2020083001 2020083001,Thunderstorm_Wind 2020083000 2020083002"
Thunderstorm_Wind,846_335_899_386,2020-08-30 01:00:00,2020-08-30 01:00:00,Thunderstorm_Wind 2020083001 2020083001
Thunderstorm_Wind,813_383_892_474,2020-08-01 18:00:00,2020-08-01 18:00:00,Thunderstorm_Wind 2020080118 2020080118
Thunderstorm_Wind,865_383_908_426,2020-08-05 03:00:00,2020-08-05 03:00:00,Thunderstorm_Wind 2020080503 2020080503
Hail,897_444_938_485,2020-08-13 00:00:00,2020-08-13 00:00:00,Hail 2020081300 2020081300
Flash_Flood+Hail+Lightning+Thunderstorm_Wind,865_382_936_456,2020-08-31 15:00:00,2020-08-31 23:00:00,"Flash_Flood 2020083117 2020083123,Hail 2020083115 2020083121,Lightning 2020083116 2020083116,Thunderstorm_Wind 2020083116 2020083117"
Thunderstorm_Wind,868_567_966_697,2020-07-08 20:00:00,2020-07-09 01:00:00,Thunderstorm_Wind 2020070820 2020070901
Hail,704_625_760_680,2020-07-18 18:00:00,2020-07-18 18:00:00,Hail 2020071818 2020071818
Hail+Tornado,713_608_771_709,2020-07-02 14:00:00,2020-07-02 16:00:00,"Hail 2020070214 2020070216,Tornado 2020070216 2020070216"
Thunderstorm_Wind,577_611_717_681,2020-07-13 13:00:00,2020-07-13 15:00:00,Thunderstorm_Wind 2020071313 2020071315
Waterspout,1184_234_1224_274,2020-10-10 04:00:00,2020-10-10 04:00:00,Waterspout 2020101004 2020101004
Thunderstorm_Wind,397_321_438_362,2020-08-13 15:00:00,2020-08-13 15:00:00,Thunderstorm_Wind 2020081315 2020081315
Thunderstorm_Wind,455_277_495_317,2020-08-14 18:00:00,2020-08-14 18:00:00,Thunderstorm_Wind 2020081418 2020081418
Thunderstorm_Wind,449_282_513_325,2020-08-15 17:00:00,2020-08-15 19:00:00,Thunderstorm_Wind 2020081517 2020081519
Hail+Thunderstorm_Wind,673_425_727_491,2020-07-12 15:00:00,2020-07-12 19:00:00,"Hail 2020071215 2020071216,Thunderstorm_Wind 2020071219 2020071219"
Thunderstorm_Wind,631_390_671_430,2020-07-17 16:00:00,2020-07-17 16:00:00,Thunderstorm_Wind 2020071716 2020071716
Thunderstorm_Wind,671_451_711_491,2020-07-29 16:00:00,2020-07-29 16:00:00,Thunderstorm_Wind 2020072916 2020072916
Thunderstorm_Wind,428_292_468_332,2020-08-26 14:00:00,2020-08-26 14:00:00,Thunderstorm_Wind 2020082614 2020082614
Thunderstorm_Wind,422_314_463_355,2020-08-27 15:00:00,2020-08-27 15:00:00,Thunderstorm_Wind 2020082715 2020082715
Hail+Thunderstorm_Wind,748_570_826_627,2020-07-02 14:00:00,2020-07-02 17:00:00,"Hail 2020070214 2020070215,Thunderstorm_Wind 2020070217 2020070217"
Flash_Flood+Thunderstorm_Wind,446_312_554_367,2020-08-29 16:00:00,2020-08-29 22:00:00,"Flash_Flood 2020082918 2020082920,Thunderstorm_Wind 2020082916 2020082922"
Hail,735_552_783_599,2020-07-16 17:00:00,2020-07-16 17:00:00,Hail 2020071617 2020071617
Hail+Thunderstorm_Wind,716_524_778_583,2020-07-20 14:00:00,2020-07-20 16:00:00,"Hail 2020072014 2020072016,Thunderstorm_Wind 2020072016 2020072016"
Hail+Thunderstorm_Wind,751_537_826_612,2020-07-20 20:00:00,2020-07-20 22:00:00,"Hail 2020072020 2020072022,Thunderstorm_Wind 2020072020 2020072021"
Hail,679_401_734_454,2020-07-11 17:00:00,2020-07-11 18:00:00,Hail 2020071117 2020071118
Flash_Flood+Flood,755_558_811_612,2020-07-23 23:00:00,2020-07-24 12:00:00,"Flash_Flood 2020072323 2020072402,Flood 2020072402 2020072412"
Marine_Thunderstorm_Wind,1538_663_1591_730,2020-09-30 02:00:00,2020-09-30 03:00:00,Marine_Thunderstorm_Wind 2020093002 2020093003
Hail+Thunderstorm_Wind,731_523_785_580,2020-07-26 15:00:00,2020-07-26 16:00:00,"Hail 2020072615 2020072615,Thunderstorm_Wind 2020072616 2020072616"
Waterspout,1452_148_1495_194,2020-09-09 15:00:00,2020-09-09 15:00:00,Waterspout 2020090915 2020090915
Flash_Flood+Flood+Thunderstorm_Wind,779_254_855_353,2020-09-08 14:00:00,2020-09-10 16:00:00,"Flash_Flood 2020090818 2020091016,Flood 2020090911 2020090917,Thunderstorm_Wind 2020090814 2020090814"
Lightning,1443_402_1485_446,2020-08-07 19:00:00,2020-08-07 19:00:00,Lightning 2020080719 2020080719
Waterspout,1482_414_1522_456,2020-08-12 11:00:00,2020-08-12 11:00:00,Waterspout 2020081211 2020081211
Thunderstorm_Wind,576_476_617_516,2020-08-01 13:00:00,2020-08-01 13:00:00,Thunderstorm_Wind 2020080113 2020080113
Marine_Thunderstorm_Wind,1429_142_1483_250,2020-09-13 07:00:00,2020-09-13 10:00:00,Marine_Thunderstorm_Wind 2020091307 2020091310
Thunderstorm_Wind+Tornado,850_700_949_777,2020-08-27 23:00:00,2020-08-28 01:00:00,"Thunderstorm_Wind 2020082723 2020082801,Tornado 2020082800 2020082800"
Flash_Flood,1543_672_1592_721,2020-09-10 05:00:00,2020-09-10 08:00:00,Flash_Flood 2020091005 2020091008
Thunderstorm_Wind,1542_700_1595_750,2020-10-07 16:00:00,2020-10-07 17:00:00,Thunderstorm_Wind 2020100716 2020100717
Thunderstorm_Wind,587_563_628_604,2020-08-20 17:00:00,2020-08-20 17:00:00,Thunderstorm_Wind 2020082017 2020082017
Debris_Flow,557_554_619_612,2020-08-26 15:00:00,2020-08-26 15:00:00,Debris_Flow 2020082615 2020082615
Thunderstorm_Wind,597_599_637_639,2020-08-29 14:00:00,2020-08-29 14:00:00,Thunderstorm_Wind 2020082914 2020082914
Thunderstorm_Wind,563_551_603_591,2020-08-31 18:00:00,2020-08-31 18:00:00,Thunderstorm_Wind 2020083118 2020083118
Funnel_Cloud+Hail+Thunderstorm_Wind,928_691_988_774,2020-07-11 12:00:00,2020-07-11 13:00:00,"Funnel_Cloud 2020071112 2020071112,Hail 2020071112 2020071113,Thunderstorm_Wind 2020071112 2020071112"
Marine_Thunderstorm_Wind,1448_148_1493_194,2020-09-18 14:00:00,2020-09-18 15:00:00,Marine_Thunderstorm_Wind 2020091814 2020091815
Hail+Thunderstorm_Wind,892_713_947_765,2020-07-20 18:00:00,2020-07-20 20:00:00,"Hail 2020072018 2020072020,Thunderstorm_Wind 2020072018 2020072020"
Funnel_Cloud,924_803_970_850,2020-08-22 18:00:00,2020-08-22 18:00:00,Funnel_Cloud 2020082218 2020082218
Funnel_Cloud,935_794_979_837,2020-08-21 18:00:00,2020-08-21 19:00:00,Funnel_Cloud 2020082118 2020082119
Flash_Flood+Hail+Thunderstorm_Wind,829_659_947_747,2020-07-06 12:00:00,2020-07-07 02:00:00,"Flash_Flood 2020070615 2020070702,Hail 2020070612 2020070621,Thunderstorm_Wind 2020070615 2020070700"
Funnel_Cloud+Hail+Thunderstorm_Wind,866_799_941_873,2020-08-14 03:00:00,2020-08-14 08:00:00,"Funnel_Cloud 2020081408 2020081408,Hail 2020081403 2020081408,Thunderstorm_Wind 2020081408 2020081408"
Flash_Flood+Flood+Funnel_Cloud+Hail+Thunderstorm_Wind+Tornado,905_781_991_911,2020-08-13 23:00:00,2020-08-14 19:00:00,"Flash_Flood 2020081400 2020081413,Flood 2020081410 2020081419,Funnel_Cloud 2020081414 2020081414,Hail 2020081323 2020081410,Thunderstorm_Wind 2020081401 2020081415,Tornado 2020081414 2020081415"
Hail+Thunderstorm_Wind+Tornado,888_836_996_939,2020-08-09 11:00:00,2020-08-09 16:00:00,"Hail 2020080911 2020080916,Thunderstorm_Wind 2020080913 2020080916,Tornado 2020080913 2020080914"
Funnel_Cloud+Hail+Thunderstorm_Wind+Tornado,912_822_996_887,2020-08-07 15:00:00,2020-08-07 20:00:00,"Funnel_Cloud 2020080718 2020080718,Hail 2020080715 2020080720,Thunderstorm_Wind 2020080716 2020080719,Tornado 2020080718 2020080719"
Hail+Thunderstorm_Wind,909_648_980_733,2020-08-10 04:00:00,2020-08-10 08:00:00,"Hail 2020081004 2020081004,Thunderstorm_Wind 2020081007 2020081008"
Thunderstorm_Wind,830_673_931_757,2020-08-08 22:00:00,2020-08-09 00:00:00,Thunderstorm_Wind 2020080822 2020080900
Hail,898_849_966_918,2020-08-19 02:00:00,2020-08-19 07:00:00,Hail 2020081902 2020081907
Hail+Thunderstorm_Wind,889_882_946_938,2020-08-19 23:00:00,2020-08-20 00:00:00,"Hail 2020081923 2020082000,Thunderstorm_Wind 2020082000 2020082000"
Hail,878_859_931_902,2020-08-19 04:00:00,2020-08-19 07:00:00,Hail 2020081904 2020081907
Funnel_Cloud+Hail+Thunderstorm_Wind+Tornado,820_800_936_933,2020-08-09 05:00:00,2020-08-09 14:00:00,"Funnel_Cloud 2020080913 2020080913,Hail 2020080905 2020080914,Thunderstorm_Wind 2020080910 2020080912,Tornado 2020080910 2020080913"
Flash_Flood,865_47_909_97,2020-07-27 17:00:00,2020-07-27 20:00:00,Flash_Flood 2020072717 2020072720
Hail+Thunderstorm_Wind,856_807_908_863,2020-08-23 20:00:00,2020-08-24 02:00:00,"Hail 2020082320 2020082320,Thunderstorm_Wind 2020082402 2020082402"
Hail+Thunderstorm_Wind,938_680_991_736,2020-07-11 13:00:00,2020-07-11 13:00:00,"Hail 2020071113 2020071113,Thunderstorm_Wind 2020071113 2020071113"
Hail+Thunderstorm_Wind+Tornado,1410_186_1470_253,2020-08-18 13:00:00,2020-08-18 15:00:00,"Hail 2020081813 2020081813,Thunderstorm_Wind 2020081814 2020081815,Tornado 2020081814 2020081815"
Hail+Thunderstorm_Wind,933_820_997_967,2020-08-08 04:00:00,2020-08-08 12:00:00,"Hail 2020080804 2020080812,Thunderstorm_Wind 2020080812 2020080812"
Hail,874_895_920_940,2020-08-08 01:00:00,2020-08-08 01:00:00,Hail 2020080801 2020080801
Flash_Flood+Flood+Thunderstorm_Wind,244_363_320_447,2020-12-28 17:00:00,2020-12-29 19:00:00,"Flash_Flood 2020122917 2020122919,Flood 2020122817 2020122823,Thunderstorm_Wind 2020122819 2020122820"
Hail,886_585_930_630,2020-08-06 04:00:00,2020-08-06 04:00:00,Hail 2020080604 2020080604
Thunderstorm_Wind,906_618_948_660,2020-08-09 06:00:00,2020-08-09 06:00:00,Thunderstorm_Wind 2020080906 2020080906
Thunderstorm_Wind,953_591_1033_725,2020-10-11 22:00:00,2020-10-12 00:00:00,Thunderstorm_Wind 2020101122 2020101200
Hail+Thunderstorm_Wind,866_621_929_707,2020-07-06 16:00:00,2020-07-06 19:00:00,"Hail 2020070616 2020070617,Thunderstorm_Wind 2020070616 2020070619"
Flood,1192_762_1233_803,2020-10-22 23:00:00,2020-10-23 11:00:00,Flood 2020102223 2020102311
Thunderstorm_Wind,1451_707_1537_810,2020-10-07 13:00:00,2020-10-07 16:00:00,Thunderstorm_Wind 2020100713 2020100716
Hail,658_614_729_680,2020-07-21 14:00:00,2020-07-21 19:00:00,Hail 2020072114 2020072119
Marine_High_Wind,114_695_182_750,2020-12-25 13:00:00,2020-12-25 13:00:00,Marine_High_Wind 2020122513 2020122513
Hail+Thunderstorm_Wind,692_601_757_683,2020-07-19 14:00:00,2020-07-19 17:00:00,"Hail 2020071914 2020071917,Thunderstorm_Wind 2020071917 2020071917"
Hail,668_615_727_682,2020-07-20 17:00:00,2020-07-20 18:00:00,Hail 2020072017 2020072018
Thunderstorm_Wind,711_640_767_715,2020-07-05 18:00:00,2020-07-05 19:00:00,Thunderstorm_Wind 2020070518 2020070519
Flash_Flood+Thunderstorm_Wind+Tornado,1098_352_1193_431,2020-08-27 18:00:00,2020-08-28 22:00:00,"Flash_Flood 2020082822 2020082822,Thunderstorm_Wind 2020082718 2020082814,Tornado 2020082805 2020082805"
Flash_Flood,885_563_964_640,2020-07-29 12:00:00,2020-07-29 17:00:00,Flash_Flood 2020072912 2020072917
Thunderstorm_Wind,864_596_963_708,2020-08-10 05:00:00,2020-08-10 08:00:00,Thunderstorm_Wind 2020081005 2020081008
Hail,727_628_773_692,2020-07-09 18:00:00,2020-07-09 19:00:00,Hail 2020070918 2020070919
Hail,679_656_721_697,2020-07-09 16:00:00,2020-07-09 16:00:00,Hail 2020070916 2020070916
Flash_Flood+Thunderstorm_Wind,905_568_949_611,2020-07-26 16:00:00,2020-07-26 18:00:00,"Flash_Flood 2020072618 2020072618,Thunderstorm_Wind 2020072616 2020072616"
Thunderstorm_Wind,725_601_776_652,2020-07-08 16:00:00,2020-07-08 16:00:00,Thunderstorm_Wind 2020070816 2020070816
Flood,1506_811_1546_851,2020-12-25 08:00:00,2020-12-25 20:00:00,Flood 2020122508 2020122520
Thunderstorm_Wind,706_626_750_670,2020-07-21 18:00:00,2020-07-21 18:00:00,Thunderstorm_Wind 2020072118 2020072118
Funnel_Cloud+Hail,664_665_740_748,2020-07-19 17:00:00,2020-07-19 20:00:00,"Funnel_Cloud 2020071918 2020071918,Hail 2020071917 2020071920"
Thunderstorm_Wind,918_616_979_674,2020-08-10 08:00:00,2020-08-10 08:00:00,Thunderstorm_Wind 2020081008 2020081008
Hail,900_645_947_691,2020-08-14 15:00:00,2020-08-14 15:00:00,Hail 2020081415 2020081415
Hail+Thunderstorm_Wind,887_598_947_669,2020-08-16 14:00:00,2020-08-16 16:00:00,"Hail 2020081614 2020081616,Thunderstorm_Wind 2020081616 2020081616"
Debris_Flow+Flash_Flood+Thunderstorm_Wind+Tornado,1262_331_1345_440,2020-10-10 15:00:00,2020-10-11 05:00:00,"Debris_Flow 2020101023 2020101101,Flash_Flood 2020101018 2020101105,Thunderstorm_Wind 2020101017 2020101019,Tornado 2020101015 2020101019"
Flash_Flood+Thunderstorm_Wind,566_333_752_479,2020-07-24 16:00:00,2020-07-24 23:00:00,"Flash_Flood 2020072420 2020072423,Thunderstorm_Wind 2020072416 2020072418"
Flood,1416_531_1500_630,2020-10-29 09:00:00,2020-10-30 04:00:00,Flood 2020102909 2020103004
Hail,872_637_915_681,2020-08-31 01:00:00,2020-08-31 01:00:00,Hail 2020083101 2020083101
Thunderstorm_Wind,920_607_961_648,2020-09-08 16:00:00,2020-09-08 16:00:00,Thunderstorm_Wind 2020090816 2020090816
Thunderstorm_Wind,703_544_743_584,2020-08-10 01:00:00,2020-08-10 01:00:00,Thunderstorm_Wind 2020081001 2020081001
Hail+Thunderstorm_Wind,879_567_972_678,2020-10-11 16:00:00,2020-10-11 22:00:00,"Hail 2020101116 2020101118,Thunderstorm_Wind 2020101117 2020101122"
Thunderstorm_Wind,926_590_989_646,2020-10-11 21:00:00,2020-10-11 22:00:00,Thunderstorm_Wind 2020101121 2020101122
Flash_Flood,1214_223_1257_266,2020-10-10 10:00:00,2020-10-10 12:00:00,Flash_Flood 2020101010 2020101012
Waterspout,1358_692_1405_742,2020-10-01 08:00:00,2020-10-01 08:00:00,Waterspout 2020100108 2020100108
Hail,1358_364_1430_456,2020-12-07 15:00:00,2020-12-07 15:00:00,Hail 2020120715 2020120715
Debris_Flow+Flood,0_1038_189_1058,2020-12-01 08:00:00,2020-12-05 16:00:00,"Debris_Flow 2020120108 2020120312,Flood 2020120109 2020120516"
Hail,697_611_745_657,2020-07-03 18:00:00,2020-07-03 18:00:00,Hail 2020070318 2020070318
Thunderstorm_Wind,1411_180_1452_221,2020-08-06 18:00:00,2020-08-06 18:00:00,Thunderstorm_Wind 2020080618 2020080618
Flood,1469_565_1519_637,2020-10-29 12:00:00,2020-10-30 22:00:00,Flood 2020102912 2020103022
Thunderstorm_Wind,423_729_540_808,2020-07-02 23:00:00,2020-07-03 17:00:00,Thunderstorm_Wind 2020070223 2020070317
Thunderstorm_Wind,416_701_483_773,2020-07-23 15:00:00,2020-07-23 19:00:00,Thunderstorm_Wind 2020072315 2020072319
Thunderstorm_Wind,1251_679_1319_758,2020-07-09 17:00:00,2020-07-09 22:00:00,Thunderstorm_Wind 2020070917 2020070922
Hail+Thunderstorm_Wind,840_107_917_182,2020-08-18 15:00:00,2020-08-18 17:00:00,"Hail 2020081817 2020081817,Thunderstorm_Wind 2020081815 2020081817"
Thunderstorm_Wind,855_102_897_144,2020-08-19 17:00:00,2020-08-20 18:00:00,Thunderstorm_Wind 2020081917 2020082018
Thunderstorm_Wind,853_100_897_143,2020-08-19 17:00:00,2020-08-19 17:00:00,Thunderstorm_Wind 2020081917 2020081917
